id,Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
76,https://i.pinimg.com/1200x/4f/f8/52/4ff852ff954ad9b13da170d943d3f1d4.jpg,"This photo shows Oia in Santorini during sunset, with white houses and a beautiful sea view. I chose this place because it looks peaceful and very famous.",Greece,Sunny,Evening,Summer,Walking,Romance
77,https://safa.ps/uploads//images/548537279d1726d8275b75c3e2f07485.jpg,"This photo shows the Dome of the Rock covered in snow, with people playing outside. I chose this place because it is important and very beautiful, especially in the snow.",Palestine,Snowy,Afternoon,Winter,Sightseeing,Happiness
78,https://i.guim.co.uk/img/media/274157bf4696d296d47614776d777ccc06d31d6d/0_336_3500_2100/master/3500.jpg?width=1200&quality=85&auto=format&fit=max&s=806a4fbcef5b6003b94f36b1b8dc56cc,"This image shows Stonehenge covered in snow. I chose this place because it is very old and mysterious, and I would like to see it in real life.",UK,Snowy,Morning,Winter,Sightseeing,Curiosity
79,https://www.ricksteves.com/watch-read-listen/read/articles/the-cow-culture-of-switzerlands-berner-oberland,"Swiss cows grazing in the Berner Oberland Alps, chosen for its peaceful nature and classic Swiss scenery.",Switzerland,Sunny,Afternoon,Summer,Viewing nature / countryside,
80,https://www.reuters.com/resizer/v2/AHF2FYISNJO55J6N35YJBZ2JYY.jpg?auth=b82b714859942866f732a9488a05c857ebfcc5347f4c912f0725e9e890418cd9&height=1005&quality=80&smart=true&width=1920,"Eiffel Tower in Paris at sunset, chosen because it's an iconic landmark and dream destination for many travelers.",France,Sunny,Evening,Summer,Sightseeing,Romance
81,https://cbx-prod.b-cdn.net/COLOURBOX11090849.jpg?height=800&quality=70&width=800,"Amsterdam canals with bicycles and Dutch houses, chosen for its beautiful city architecture and peaceful waterways.",Netherlands,Sunny,Afternoon,Spring,Walking / city exploring,Happiness
82,https://w0.peakpx.com/wallpaper/254/923/HD-wallpaper-old-town-square-sunset-plaza-de-la-ciudad-vieja-skyline-prague-czech-republic-europe.jpg,"Old Town Square in Prague at sunset, chosen for its magical medieval atmosphere and golden skyline.",Czech Republic,Sunny,Evening,Fall,Sightseeing,Nostalgia
83,"https://www.fascinatingspain.com/asset/thumbnail,1280,720,center,center/media/fascinatingspain/images/2020/06/10/20200610092027293109.jpg","Alhambra in Granada, a historic Islamic palace chosen for its architecture and cultural importance.",Spain,Sunny,Afternoon,Summer,Cultural tourism,Curiosity
84,https://www.thetraveler.bg/wp-content/uploads/2024/04/Nad-Como-1.4.jpg,"Lake Como overlooking the mountains, chosen for its peaceful water views and charming villages.",Italy,Sunny,Afternoon,Summer,Relaxing / sightseeing,
85,https://finduslost.com/wp-content/uploads/2020/03/Winter-Hallstatt-Austria-FindUsLost-1060390.jpg,"Hallstatt village covered in snow, chosen for its fairy-tale beauty and winter charm.",Austria,Snowy,Morning,Winter,Walking / village exploring,Nostalgia
98,https://www.pexels.com/photo/igloos-at-dawn-15825092/,"""Blue ice formations inside a glacier""",Iceland,Snowy,Afternoon,Winter,Hiking,Curiosity
99,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/All_Gizah_Pyramids.jpg/1280px-All_Gizah_Pyramids.jpg,"""The Great Pyramids of Giza in Egypt, ancient wonders of the world.""",Egypt,Sunny,Afternoon,Summer,Sightseeing,Curiosity
100,https://upload.wikimedia.org/wikipedia/commons/7/7a/Citadel_of_Qaitbay%2C_Alexandria%2C_Egypt.jpg,"""The Citadel of Qaitbay in Alexandria, Egypt, a historic fortress on the Mediterranean coast.""",Egypt,Sunny,Afternoon,Summer,Sightseeing,Excitement
101,https://i.pinimg.com/736x/0b/04/eb/0b04ebe9ca3fa5b1a4ab3864dd394508.jpg,"""The Kaaba in Mecca, Saudi Arabia, the holiest site in Islam.""",Saudi Arabia,Sunny,Afternoon,Summer,Religious Pilgrimage,Happiness
102,https://i.pinimg.com/736x/2c/8b/18/2c8b18a95b82a7b9057733d6aca9f87d.jpg,"""The blue-domed churches and white-washed buildings of Oia, Santorini, Greece, overlooking the sea.""",Greece,Cloudy,Evening,Summer,Relaxing,Happiness
103,https://i.pinimg.com/736x/e5/94/15/e59415b46624f94285ecfd1a46d7d131.jpg,"A traditional Japanese Torii gate and temple structure illuminated at dusk, suggesting a quiet, spiritual place.",Japan,Cloudy,Evening,Fall,Sightseeing,Melancholy
104,https://i.pinimg.com/736x/fa/83/84/fa8384d1705e1fcc7042ec5769020dfe.jpg,"""The Eiffel Tower in Paris, France, an iconic landmark and symbol of French culture.""",France,Snowy,Evening,Winter,Sightseeing,Romance
105,https://i.pinimg.com/736x/0a/1d/1c/0a1d1c9f9fcf8c0898499234d854cbc6.jpg,"The Taj Mahal in Agra, India, iconic white marble mausoleum and symbol of love.",India,Sunny,Morning,Spring,Sightseeing,Adventure
106,https://i.pinimg.com/736x/4d/04/6f/4d046f9cf02410e30ff5b05b6c0dfdc1.jpg,"The Elizabeth Tower (Big Ben) in London, a famous historical clock tower.",United Kingdom,Snowy,Evening,Winter,Relaxing,Happiness
107,https://i.pinimg.com/736x/21/3d/f2/213df2eb4ce5479f7ffb5b16c8204ebc.jpg,"""The Statue of Liberty in New York City, USA, a symbol of freedom and democracy.""",USA,Cloudy,Evening,Fall,Sightseeing,Excitement
108,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2021/04/14/images/182506.jpg",Al-Aqsa Mosque a sacred and historical Islamic site,Palestine,Rainy,Afternoon,Winter,Sightseeing,Nostalgia
109,https://mlegdx5tedle.i.optimole.com/baCgufs.LVHB~676cd/w:500/h:365/q:auto/rt:fill/g:ce/https://colosseum.info/wp-content/uploads/2019/10/shutterstock_62073784.jpg,Colosseum in Rome an ancient Roman amphitheater showcasing historical architecture,Italy,Sunny,Evening,Summer,Sightseeing,Curiosity
110,https://images.pexels.com/photos/7655108/pexels-photo-7655108.jpeg,Seoul cityscape vibrant city with modern architecture,South Korea,Cloudy,Evening,Spring,Relaxing,Curiosity
111,https://images.pexels.com/photos/3867371/pexels-photo-3867371.jpeg,Eiffel Tower in Paris an iconic landmark in France.,France,Sunny,Afternoon,Fall,Sightseeing,Happiness
112,https://cdn.mos.cms.futurecdn.net/57jQMDN5MZLYfV8ps8HuZQ.jpg,Aurora Borealis in the Arctic Circle Northern Lights illuminating the night sky,Arctic Circle,Snowy,Evening,Winter,Hiking,Excitement
113,https://arabicpost.net/wp-content/uploads/2019/08/istock-851666252.jpg,Beach in Sidi Bou Said Tunisia white sands and blue sea with scenic views,Tunisia,Sunny,Afternoon,Summer,Relaxing,Happiness
114,https://images.pexels.com/photos/1285625/pexels-photo-1285625.jpeg,Santorini iconic white houses and blue domes on cliffs overlooking the sea,Greece,Sunny,Afternoon,Spring,Relaxing,Happiness
115,https://images.pexels.com/photos/176400/pexels-photo-176400.jpeg,Beach in Thailand with crystal clear water perfect for relaxation and leisure,Thailand,Sunny,Morning,Summer,Sightseeing,Adventure
116,https://visitmaldives.s3.amazonaws.com/ywDKjNoN/c/6qo3rduf-large.jpg,Bioluminescent beach in the Maldives glowing waters creating a magical night scene,Maldives,Sunny,Evening,Summer,Sightseeing,Excitement
117,https://images.pexels.com/photos/16721639/pexels-photo-16721639.jpeg,Cologne Cathedral in Germany Gothic architecture with intricate details,Germany,Sunny,Morning,Summer,Sightseeing,Curiosity
118,https://images.pexels.com/photos/33651589/pexels-photo-33651589.jpeg,"A candid scene of daily life in Bali during heavy rainfall, showing a person on a motorcycle in front of a traditional building with decorated roofs. The rain in the image indicates that it's summer in Bali because it rains there during the summer. I chose Bali to experience its vibrant culture, tropical weather, and authentic local lifestyle.",Bali,Rainy,Afternoon,Summer,Sightseeing,Curiosity
119,https://images.unsplash.com/photo-1529963183134-61a90db47eaf,"A stunning view of Iceland's dramatic coastline: black sand beaches, powerful ocean waves crashing against the rocky cliffs, and the aurora borealis glowing in the sky. When you see the aurora like that, it's definitely Fall the best time to catch this phenomenon. I picked Iceland for its weird volcanic landscapes, the raw untouched nature that's unlike anywhere else, and of course, the magical aurora borealis.",Iceland,Cloudy,Evening,Fall,Relaxing,Adventure
120,https://images.pexels.com/photos/35048260/pexels-photo-35048260.jpeg,A stunning view of Istanbul's iconic Maiden's Tower (Kız Kulesi) standing in the brilliant blue waters of the Bosphorus strait under clear skies. I chose Istanbul to experience its unique blend of European and Asian cultures and explore its rich Ottoman heritage.,Istanbul,Sunny,Afternoon,Spring,Sightseeing,Curiosity
121,https://photos.smugmug.com/Kyoto/Honeymoon-in-Kyoto/i-LdmsJPZ/0/26b66d84/L/shutterstock_626644001-L.jpg,"A stunning sunset view of Kyoto's traditional pagoda temple illuminated against a colorful sky, surrounded by historic Japanese architecture. I chose Kyoto to experience traditional Japanese culture, visit ancient temples, and witness the beauty of cherry blossoms.",Kyoto,Cloudy,Evening,Fall,Sightseeing,Romance
122,https://images.pexels.com/photos/1483053/pexels-photo-1483053.jpeg,An aerial view of a luxurious Maldives resort with overwater bungalows extending into crystal-clear turquoise lagoons and pristine white sandy beaches. I chose the Maldives for its paradise-like tropical islands and perfect relaxation in stunning natural beauty.,Maldives,Sunny,Morning,Summer,Relaxing,Happiness
123,https://images.pexels.com/photos/30710070/pexels-photo-30710070.jpeg,"The iconic Koutoubia Mosque minaret tower rising above traditional Moroccan gardens with palm trees and lush vegetation. I chose Marrakech to experience the vibrant souks, stunning Islamic architecture, and rich North African culture.",Marrakech,Cloudy,Afternoon,Summer,Sightseeing,Curiosity
124,https://cdn.pixabay.com/photo/2016/06/02/20/16/flood-1432005_1280.jpg,"The iconic Eiffel Tower visible in the distance along the flooded Seine River during heavy rainfall in Paris. I chose Paris to experience the city of lights in all its moods, visit world-famous museums like the Louvre, and enjoy French art and cuisine.",Paris,Rainy,Afternoon,Spring,Sightseeing,Melancholy
125,https://images.pexels.com/photos/1631665/pexels-photo-1631665.jpeg,"The magnificent Treasury (Al-Khazneh) carved into rose-red sandstone cliffs in the ancient city of Petra, with traditional horse carriages in front. I chose Petra to explore this UNESCO World Heritage site and witness the incredible Nabataean architecture carved into rock over 2,000 years ago.",Petra,Sunny,Morning,Spring,Sightseeing,Excitement
126,https://images.unsplash.com/photo-1594048069339-42ae0e89376a,"The iconic white-washed buildings and blue-domed churches of Santorini perched on dramatic cliffs overlooking the deep blue Aegean Sea. I chose Santorini for its breathtaking sunsets, stunning caldera views, and romantic Mediterranean atmosphere.",Santorini,Cloudy,Afternoon,Summer,Sightseeing,Romance
127,https://images.pexels.com/photos/34952921/pexels-photo-34952921.jpeg,"A stunning winter scene in the Swiss Alps with snow-covered mountains, frosted forests, and a traditional alpine chalet nestled in pristine white snow. I chose the Swiss Alps to experience breathtaking mountain landscapes, winter sports, and the magical beauty of snow-covered peaks.",Swiss Alps,Snowy,Morning,Winter,Hiking,Adventure
128,https://images.pexels.com/photos/11049056/pexels-photo-11049056.jpeg,"A view of the Court of the Lions in the Alhambra Palace in Granada, showing detailed Islamic arches and a marble fountain with lion statues.",Spain,Sunny,Afternoon,Summer,Sightseeing,Curiosity
129,https://images.pexels.com/photos/15890763/pexels-photo-15890763.jpeg,"Old stone ruins from the Angkor temple area in Cambodia, with carved walls and tall temple buildings in bright sunlight.",Cambodia,Sunny,Afternoon,Summer,Sightseeing,Adventure
130,https://images.pexels.com/photos/3021382/pexels-photo-3021382.jpeg,"A wide view of the Colosseum in Rome during sunset, with warm golden light illuminating the ancient stone arches.",Italy,Sunny,Evening,Fall,Sightseeing,
131,https://images.pexels.com/photos/161950/skogafoss-waterfall-dinamet7-water-161950.jpeg,"A strong view of the Skgafoss waterfall in Iceland, with green cliffs around it and mist rising from the falling water.",Iceland,Sunny,Afternoon,Summer,Sightseeing,Adventure
132,https://images.pexels.com/photos/11696778/pexels-photo-11696778.jpeg,"A panoramic view of the Old City of Jerusalem, featuring the Al-Aqsa Mosque, the golden Dome of the Rock, and the historic stone walls with the modern skyline in the background.",Palestine,Sunny,Afternoon,Spring,Sightseeing,Curiosity
133,https://images.pexels.com/photos/14451425/pexels-photo-14451425.jpeg,"A vibrant scene at the Izmir Clock Tower in Konak Square, with palm trees, pigeons, and people enjoying the sunny day around the historic landmark.",Turkey,Sunny,Afternoon,Summer,Sightseeing,Happiness
134,https://images.pexels.com/photos/48178/mountains-ice-bergs-antarctica-berg-48178.jpeg,"A strong view of AntarcticaÕs icy mountains rising above the cold ocean, with snowy peaks, glaciers, and pieces of ice floating on the water.",Antarctica,Cloudy,Afternoon,Summer,Sightseeing,Adventure
135,https://images.pexels.com/photos/338454/pexels-photo-338454.jpeg,"A clear daytime view of Big Ben and the Palace of Westminster in London, with people and cars crossing Westminster Bridge under a bright blue sky.",United Kingdom,Sunny,Afternoon,Summer,Sightseeing,Curiosity
136,https://i0.wp.com/www.engagingcultures.com/wp-content/uploads/2016/11/The-Treasury-of-Petra-wide-Jordan-tour-2721.jpg?fit=1000%2C667&ssl=1,The Treasury in Petra carved into the red sandstone cliffs. I chose this place because I love ancient history and dream of walking through the Siq to see this view in real life.,Jordan,Sunny,Afternoon,Spring,Sightseeing,Adventure
137,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjnqz-591PWHVh0-TXM2nab_lGDBHlVH-TPcDsNOcpaZItmo3RR34wpe1B-BeBd26jNdSdO_ecCge05eCYlzEhFD0clc8w7gBvQ5-YSl5UQpqgz8h6agruIicoi3YN46O7jctTy7TUkzGA/w640-h360/6.jpg,Bright red torii gate and main shrine buildings at Fushimi Inari in Kyoto. I chose it because I love Japanese culture and want to walk through the endless torii gates.,Japan,Sunny,Afternoon,Spring,Sightseeing,Curiosity
138,https://cdn11.bigcommerce.com/s-yzgoj/images/stencil/1280x1280/products/1328240/4878232/DPI12275718LARGE__28975.1542169194.jpg?c=2,Brooklyn Bridge and the New York City skyline at sunset with snow along the riverbank. I chose it because I want to experience the energy of New York and see this view in real life.,United States,Snowy,Evening,Winter,Sightseeing,Excitement
139,https://cdn-imgix.headout.com/microbrands-content-image/image/e4e2b84ff4e7f818201b1143c7da369e-Colosseum.jpg?auto=format&q=90&crop=faces&fit=crop,The Colosseum in Rome on a clear day with people walking around the ancient arena. I chose it because I love Roman history and want to imagine how it looked in the past.,Italy,Sunny,Afternoon,Summer,Sightseeing,Curiosity
140,https://images.squarespace-cdn.com/content/v1/62b85870cef97862d6324f88/6d737f93-a9c1-433c-b7e4-61ded7308088/greenwich+park+autumn.jpg?format=2500w,Autumn trees in Greenwich Park with golden and orange leaves and a soft sky in the background. I chose it because I love peaceful autumn walks and the warm colors of the park.,United Kingdom,Cloudy,Afternoon,Fall,Relaxing,Nostalgia
141,https://www.jaredsdetours.com/wp-content/uploads/2024/06/tegallalang_rice_terrace-1.jpg,Green rice terraces in Bali with palm trees and soft light over the hills. I chose it because I love peaceful tropical nature and want to walk between the terraces.,Indonesia,Cloudy,Morning,Summer,Hiking,Happiness
